Finnegan.1@osu.edu,3751,Computer,1
Christian.2@osu.edu,4371,Computer,1
Dolan.3@osu.edu,2814,Computer,5
Mcguire.4@osu.edu,3393,Literature & Fiction,3
Terrell.5@osu.edu,1046,Computer,5
Hopper.6@osu.edu,2434,Computer,1
Puckett.7@osu.edu,3635,Computer,4
Hamilton.8@osu.edu,3899,Literature & Fiction,3
Firth.9@osu.edu,3143,Computer,4
Roy.10@osu.edu,1954,Literature & Fiction,3
Hardy.11@osu.edu,2037,Computer,3
Ahmed.12@osu.edu,4714,Romance,3
Gale.13@osu.edu,4306,Computer,2
Larsen.14@osu.edu,3358,Science,5
Fuller.15@osu.edu,4111,Computer,2
Holmes.16@osu.edu,4974,Literature & Fiction,1
Gates.17@osu.edu,4073,Literature & Fiction,4
Schofield.18@osu.edu,3399,Literature & Fiction,1
Grey.19@osu.edu,1568,Home Design,2
Franco.20@osu.edu,2552,Home Design,2
