1,Finnegan.1@osu.edu,782140661,104.97,07/01/16,MASTER
2,Christian.2@osu.edu,72227885,34.99,09/16/18,MASTER
3,Dolan.3@osu.edu,471200247,50,07/20/18,MASTER
4,Mcguire.4@osu.edu,72227710,17.49,01/26/19,MASTER
5,Terrell.5@osu.edu,1558605525,49.95,06/15/17,AMEX
6,Hopper.6@osu.edu,972263608,99,06/22/18,AMEX
7,Puckett.7@osu.edu,201615762,38.49,11/11/16,MASTER
8,Hamilton.8@osu.edu,782140114,69.99,03/11/19,AMEX
9,Firth.9@osu.edu,321125169,38.49,05/13/19,MASTER
10,Roy.10@osu.edu,805317554,95,11/02/18,MASTER
11,Hardy.11@osu.edu,1861004486,41.99,03/09/19,AMEX
12,Ahmed.12@osu.edu,735712123,34.99,03/08/18,VISA
13,Gale.13@osu.edu,425188361,16.07,02/13/19,AMEX
14,Larsen.14@osu.edu,142001740,14,02/26/16,DISCOVER
15,Fuller.15@osu.edu,596004478,24.95,09/25/17,MASTER
16,Holmes.16@osu.edu,71414339,18.95,11/01/18,MASTER
17,Gates.17@osu.edu,312311354,13,03/11/16,AMEX
18,Schofield.18@osu.edu,312287941,25.95,09/09/18,VISA
19,Grey.19@osu.edu,312243022,3.44,06/03/18,AMEX
20,Franco.20@osu.edu,609610570,27.5,11/14/17,VISA
