Finnegan.1@osu.edu,Luqman Finnegan,1234567890,"123 West Ave, Columbus, Ohio, 43210"
Christian.2@osu.edu,Phebe Christian,1234567891,"124 West Ave, Columbus, Ohio, 43210"
Dolan.3@osu.edu,Charlie Dolan,1234567892,"125 West Ave, Columbus, Ohio, 43210"
Mcguire.4@osu.edu,Kiya Mcguire,1234567893,"126 West Ave, Columbus, Ohio, 43210"
Terrell.5@osu.edu,Amal Terrell,1234567894,"127 West Ave, Columbus, Ohio, 43210"
Hopper.6@osu.edu,Soren Hopper,1234567895,"128 West Ave, Columbus, Ohio, 43210"
Puckett.7@osu.edu,Brendan Puckett,1234567896,"129 West Ave, Columbus, Ohio, 43210"
Hamilton.8@osu.edu,Savannah Hamilton,1234567897,"130 West Ave, Columbus, Ohio, 43210"
Firth.9@osu.edu,Zackary Firth,1234567898,"131 West Ave, Columbus, Ohio, 43210"
Roy.10@osu.edu,Lidia Roy,1234567899,"132 West Ave, Columbus, Ohio, 43210"
Hardy.11@osu.edu,Sukhmani Hardy,1234567900,"133 West Ave, Columbus, Ohio, 43210"
Ahmed.12@osu.edu,Dottie Ahmed,1234567901,"134 West Ave, Columbus, Ohio, 43210"
Gale.13@osu.edu,Rhydian Gale,1234567902,"135 West Ave, Columbus, Ohio, 43210"
Larsen.14@osu.edu,Luther Larsen,1234567903,"136 West Ave, Columbus, Ohio, 43210"
Fuller.15@osu.edu,Aqsa Fuller,1234567904,"137 West Ave, Columbus, Ohio, 43210"
Holmes.16@osu.edu,Chase Holmes,1234567905,"138 West Ave, Columbus, Ohio, 43210"
Gates.17@osu.edu,Mila Gates,1234567906,"139 West Ave, Columbus, Ohio, 43210"
Schofield.18@osu.edu,Troy Schofield,1234567907,"140 West Ave, Columbus, Ohio, 43210"
Grey.19@osu.edu,Alexis Grey,1234567908,"141 West Ave, Columbus, Ohio, 43210"
Franco.20@osu.edu,Bob Franco,1234567909,"142 West Ave, Columbus, Ohio, 43210"
